,0,1,2
formality,-119.89024392774432,5.8677576226202515,"[np.float64(-11.34455781411667), np.float64(11.804129639518905)]"
length,130.7418743005471,3.648948100868378,"[np.float64(-6.8494642641946655), np.float64(7.452776791166286)]"
order,2.697092597417414,1.1922865169726211,"[np.float64(-2.3966227923025762), np.float64(2.287954178365998)]"
sentiment,57.42213402765506,5.782603306868705,"[np.float64(-11.307925353445185), np.float64(10.449564434637345)]"
flesch,72.92583512960718,5.981601296976506,"[np.float64(-12.170738110175478), np.float64(11.016839678188752)]"
repetitive,-22.106378111841558,4.429499511924407,"[np.float64(-9.246634387309006), np.float64(8.407485266768575)]"
