default,category,optimal,n_train,std
0.6931471805599454,0.6792279635388307,0.674452351442586,0,1
0.7356713126870215,0.6766408751504954,0.674452351442586,400,16
0.7531806661568659,0.6781031712522918,0.674452351442586,800,1
0.7214382889553203,0.6769956237496175,0.674452351442586,1200,1
0.7116642607577304,0.6769950772171007,0.674452351442586,1600,1
0.6808762382677686,0.6769904483942834,0.674452351442586,2000,1
0.6805369054853301,0.6768254910265067,0.674452351442586,2400,6
0.679606611312518,0.676794201340437,0.674452351442586,2800,6
0.6794086842841851,0.67643608829892,0.674452351442586,3200,11
0.6779272724441574,0.6767178156029521,0.674452351442586,3600,6
0.6773136141126959,0.6762268338741021,0.674452351442586,4000,11
0.677376548629735,0.6758111573084359,0.674452351442586,4400,16
0.676863830288953,0.6757416412285417,0.674452351442586,4800,16
0.676759375009729,0.6756401613105008,0.674452351442586,5200,16
0.6767396069356153,0.6756513156727991,0.674452351442586,5600,16
0.6765324213207264,0.6756907403196866,0.674452351442586,6000,16
0.6763047233684398,0.6755834598447595,0.674452351442586,6400,16
0.6762861278944323,0.675422781972585,0.674452351442586,6800,21
0.6761905330011678,0.6754383995986468,0.674452351442586,7200,16
0.676036841426825,0.6753023607885646,0.674452351442586,7600,16
0.6759160507528756,0.6752358404576994,0.674452351442586,8000,16
0.6758287191259988,0.6751833189688569,0.674452351442586,8400,16
0.6758261809910832,0.6752128113191309,0.674452351442586,8800,16
0.6755270226995422,0.6752033649708186,0.674452351442586,9200,16
0.6756087810151606,0.6752459964064101,0.674452351442586,9600,16
0.675571988410297,0.6752353378713215,0.674452351442586,10000,16
0.6755938691452644,0.6751924397814872,0.674452351442586,10400,21
0.6755300273540941,0.6751904987467919,0.674452351442586,10800,16
0.6754243126127374,0.6751751402364102,0.674452351442586,11200,16
0.6754313375353208,0.6751352732046934,0.674452351442586,11600,16
0.6753967408779405,0.6750900176658068,0.674452351442586,12000,16
0.6753894479074904,0.6750132676370043,0.674452351442586,12400,21
0.675414026956692,0.6750919084462528,0.674452351442586,12800,16
0.675355539347378,0.675045256222068,0.674452351442586,13200,21
0.6753056640373608,0.6750481162875904,0.674452351442586,13600,21
0.675283425643969,0.6750504797710168,0.674452351442586,14000,21
0.6752637241857434,0.6750239700518996,0.674452351442586,14400,21
0.6753126378784179,0.6750600376653341,0.674452351442586,14800,21
0.6753055255563692,0.6750442292203491,0.674452351442586,15200,21
0.6753229968166604,0.675089380069949,0.674452351442586,15600,21
0.6753007650405303,0.6751266196400533,0.674452351442586,16000,16
0.6753126613930497,0.6750925879301627,0.674452351442586,16400,21
0.6752662603769409,0.6750983296115148,0.674452351442586,16800,16
0.6752838021472518,0.6750976052035684,0.674452351442586,17200,16
0.6752363525280033,0.6750798148174463,0.674452351442586,17600,16
0.6752124313400266,0.675059417062937,0.674452351442586,18000,16
0.6752281680876728,0.6750652144639718,0.674452351442586,18400,16
0.6751747710230922,0.6750331653464675,0.674452351442586,18800,16
0.675164308782343,0.6750042652712618,0.674452351442586,19200,16
0.6750881475762092,0.6749434023580188,0.674452351442586,19600,21
