default,category,optimal,n_train
0.6931471805598579,0.6683843093207154,0.6561783806490585,0
0.8676689439472438,0.6631270089578186,0.6561783806490585,1000
0.749082449050471,0.6628549228313607,0.6561783806490585,2000
0.7375815730648608,0.6620843757919472,0.6561783806490585,3000
0.6940590735650027,0.6613243317224816,0.6561783806490585,4000
0.704974218513705,0.6608842916277105,0.6561783806490585,5000
0.6785808944138495,0.6602990892228704,0.6561783806490585,6000
0.6752568383873349,0.6597595620735013,0.6561783806490585,7000
0.6748964120380053,0.6597056358891482,0.6561783806490585,8000
0.6653063154304403,0.6594970991657837,0.6561783806490585,9000
0.6646535343074597,0.6592266841560379,0.6561783806490585,10000
0.6643241544676985,0.6589905295301282,0.6561783806490585,11000
0.6640382980851784,0.6588903070847265,0.6561783806490585,12000
0.663816432750003,0.6587851822869889,0.6561783806490585,13000
0.6637413907700536,0.65868785737142,0.6561783806490585,14000
0.6637633515357935,0.6586362426469957,0.6561783806490585,15000
0.6637452643088697,0.6586434229350061,0.6561783806490585,16000
0.6636412249685477,0.6585929348467179,0.6561783806490585,17000
0.6634989775725548,0.6584820766291865,0.6561783806490585,18000
0.6634297258558427,0.6584793819178286,0.6561783806490585,19000
0.6630405208185601,0.6583609700286875,0.6561783806490585,20000
0.6628289736290417,0.6581839982928059,0.6561783806490585,21000
0.6627952951437702,0.6581396104671264,0.6561783806490585,22000
0.6627665271192685,0.6581683817028906,0.6561783806490585,23000
0.6628839806705684,0.6582499374915214,0.6561783806490585,24000
0.6586366906427593,0.6581855437217355,0.6561783806490585,25000
0.6586096914571535,0.6581498991469393,0.6561783806490585,26000
0.6585607121557036,0.6581200117991179,0.6561783806490585,27000
0.6584613142187332,0.6581891766696187,0.6561783806490585,28000
0.6584835629789307,0.658223504127756,0.6561783806490585,29000
0.6583733354350296,0.658148412868783,0.6561783806490585,30000
0.6583516504199857,0.6581319047793065,0.6561783806490585,31000
0.6583212113539881,0.6581077473114262,0.6561783806490585,32000
0.6582002251785862,0.6580206359934465,0.6561783806490585,33000
0.6581465833185807,0.6579570451745597,0.6561783806490585,34000
0.6581241666703642,0.6579490086980454,0.6561783806490585,35000
0.6580456535696025,0.6579092725476,0.6561783806490585,36000
0.6580439003568359,0.6579306566715808,0.6561783806490585,37000
0.6580799604133569,0.6580015779622337,0.6561783806490585,38000
0.6580639681296604,0.6579911875373796,0.6561783806490585,39000
0.6580871410704504,0.6580096108346503,0.6561783806490585,40000
0.6580312511449978,0.6579519205979429,0.6561783806490585,41000
0.6580386460696215,0.6579514220190636,0.6561783806490585,42000
0.6580367681647479,0.6579436971423543,0.6561783806490585,43000
0.6579616344464853,0.6578701461416419,0.6561783806490585,44000
0.6579494501553043,0.6578654628145422,0.6561783806490585,45000
0.6579240337331695,0.6578232228050428,0.6561783806490585,46000
0.6578646455397701,0.6577676979671656,0.6561783806490585,47000
0.6578621968919708,0.6577674822968895,0.6561783806490585,48000
0.6578908075088066,0.6577921602501275,0.6561783806490585,49000
